"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer's signature,Number of exemptions,Number of dependents
10033,"$100,000 under $200,000",1940,720,1000,180,1270,4010,1070
10033,"$200,000 or more",630,110,480,30,460,1610,500
,,,,,,,,
10034,,"20,140","11,700","3,340","4,700","13,990","33,600","10,690"
10034,"$1 under $25,000",9300,6170,860,2150,7000,14450,4840
10034,"$25,000 under $50,000",4880,2660,670,1450,3220,8520,2980
10034,"$50,000 under $75,000",2830,1570,450,720,1770,4590,1310
10034,"$75,000 under $100,000",1390,730,380,230,840,2330,560
10034,"$100,000 under $200,000",1430,510,740,150,940,2940,770
10034,"$200,000 or more",310,60,240,**,220,770,230
,,,,,,,,
10035,,"15,130","8,780","1,930","4,160","8,710","25,970","9,310"
10035,"$1 under $25,000",7040,4500,520,1920,4030,11530,4360
10035,"$25,000 under $50,000",3890,2040,420,1370,2220,7140,2830
10035,"$50,000 under $75,000",1950,1100,260,540,1100,3240,1030
10035,"$75,000 under $100,000",910,540,160,180,520,1450,380
10035,"$100,000 under $200,000",1020,490,370,130,620,1870,490
10035,"$200,000 or more",320,110,200,20,220,740,220
,,,,,,,,
10036,,"18,720","13,810","3,230","1,140","10,790","25,220","3,780"
10036,"$1 under $25,000",4480,3670,370,310,2550,5140,730
10036,"$25,000 under $50,000",3160,2430,290,330,1740,4100,710
10036,"$50,000 under $75,000",2580,2050,270,190,1330,3310,470
10036,"$75,000 under $100,000",1920,1540,240,90,1010,2430,270
10036,"$100,000 under $200,000",3800,2800,770,130,2100,5200,630
10036,"$200,000 or more",2780,1320,1290,90,2060,5040,970
,,,,,,,,
10037,,"10,530","6,500",930,"2,880","5,940","16,290","5,070"
10037,"$1 under $25,000",3870,2560,190,1060,2090,5910,2070
10037,"$25,000 under $50,000",2750,1600,180,920,1490,4440,1520
10037,"$50,000 under $75,000",1850,1180,130,510,1060,2690,720
10037,"$75,000 under $100,000",1000,600,120,230,600,1490,370
10037,"$100,000 under $200,000",920,500,240,160,600,1480,320
10037,"$200,000 or more",140,60,70,**,100,280,70
,,,,,,,,
10038,,"12,090","8,150","2,640",970,"7,170","17,920","3,590"
10038,"$1 under $25,000",3440,2320,640,390,2170,4780,1060
10038,"$25,000 under $50,000",1930,1400,250,230,1110,2770,620
10038,"$50,000 under $75,000",1590,1270,150,120,810,2040,300
10038,"$75,000 under $100,000",1120,890,130,70,580,1440,200
10038,"$100,000 under $200,000",2190,1540,470,100,1210,3090,430
10038,"$200,000 or more",1820,730,1000,60,1290,3800,980
,,,,,,,,
10039,,"13,290","7,470","1,280","4,320","7,720","22,710","8,450"
10039,"$1 under $25,000",6250,3850,390,1940,3680,10390,4060
10039,"$25,000 under $50,000",3600,1900,310,1320,1970,6340,2430
10039,"$50,000 under $75,000",1810,940,180,650,1040,3020,1030
10039,"$75,000 under $100,000",770,420,90,240,470,1300,440
10039,"$100,000 under $200,000",690,300,220,170,440,1310,400
10039,"$200,000 or more",170,60,90,**,120,350,90
,,,,,,,,
10040,,"21,300","12,560","3,570","4,770","14,690","35,320","11,070"
10040,"$1 under $25,000",9790,6610,870,2180,7170,15110,5060
10040,"$25,000 under $50,000",5360,3020,740,1500,3600,9100,3010
10040,"$50,000 under $75,000",2970,1640,520,720,1870,4870,1370
10040,"$75,000 under $100,000",1390,720,390,230,850,2400,620
10040,"$100,000 under $200,000",1410,510,750,140,920,2880,720
10040,"$200,000 or more",380,60,300,**,280,960,290
,,,,,,,,
10044,,"4,260","2,470","1,280",360,"2,300","7,000","1,620"
10044,"$1 under $25,000",1150,880,130,100,560,1420,280
10044,"$25,000 under $50,000",740,520,120,80,350,1090,230
10044,"$50,000 under $75,000",640,410,130,70,330,970,210
10044,"$75,000 under $100,000",440,250,120,40,240,720,160
10044,"$100,000 under $200,000",820,320,420,70,490,1620,390
10044,"$200,000 or more",470,90,360,**,330,1180,350
,,,,,,,,
10065,,"15,780","10,240","4,440",560,"10,950","23,950","4,350"
10065,"$1 under $25,000",2350,2030,160,90,1560,2160,180
10065,"$25,000 under $50,000",2050,1740,170,70,1150,2360,200
10065,"$50,000 under $75,000",2070,1730,190,70,1210,2500,250
10065,"$75,000 under $100,000",1610,1280,220,50,1020,2020,200
10065,"$100,000 under $200,000",3240,2120,880,120,2270,4820,710
10065,"$200,000 or more",4460,1340,2820,160,3740,10090,2810
,,,,,,,,
10069,,"2,890","1,420","1,190",180,"2,050","5,330","1,370"
10069,"$1 under $25,000",370,300,30,30,260,350,50
10069,"$25,000 under $50,000",260,180,40,30,160,370,80
10069,"$50,000 under $75,000",240,170,40,40,150,330,60
10069,"$75,000 under $100,000",190,140,30,**,120,260,40
10069,"$100,000 under $200,000",580,320,200,30,370,950,180
10069,"$200,000 or more",1250,310,850,50,990,3070,960
,,,,,,,,
10075,,"14,080","9,060","4,070",500,"9,710","21,520","4,080"
10075,"$1 under $25,000",2160,1890,130,70,1480,1800,150
10075,"$25,000 under $50,000",1600,1350,130,60,940,1840,150
10075,"$50,000 under $75,000",1960,1640,190,70,1130,2330,190
10075,"$75,000 under $100,000",1560,1250,210,50,940,1910,150
10075,"$100,000 under $200,000",3110,1980,880,130,2120,4650,670
10075,"$200,000 or more",3690,950,2530,120,3100,8990,2770
,,,,,,,,
10128,,"32,950","20,820","9,270","1,820","20,820","50,960","10,380"
10128,"$1 under $25,000",5890,4930,370,440,3630,5680,870
10128,"$25,000 under $50,000",4300,3460,350,350,2350,5270,750
10128,"$50,000 under $75,000",4920,4050,440,260,2520,5940,610
10128,"$75,000 under $100,000",3600,2800,480,180,2010,4590,510
10128,"$100,000 under $200,000",6500,3850,2100,310,4070,10190,1610
10128,"$200,000 or more",7740,1730,5530,280,6240,19290,6030
,,,,,,,,
10162,,750,330,320,50,550,"1,470",430
10162,"$1 under $25,000",100,80,**,**,70,90,20
10162,"$25,000 under $50,000",50,30,**,**,30,70,**
10162,"$50,000 under $75,000",60,40,40,**,40,70,20
10162,"$75,000 under $100,000",60,40,**,**,50,90,**
10162,"$100,000 under $200,000",190,90,70,50,140,340,80
10162,"$200,000 or more",290,50,210,**,220,810,310
,,,,,,,,
10280,,"4,200","2,390","1,430",250,"2,570","7,120","1,610"
10280,"$1 under $25,000",480,370,60,30,300,520,80
10280,"$25,000 under $50,000",360,280,40,20,180,480,90
10280,"$50,000 under $75,000",460,350,60,30,260,600,90
10280,"$75,000 under $100,000",400,300,60,30,220,540,80
10280,"$100,000 under $200,000",1140,690,330,80,660,1810,340
10280,"$200,000 or more",1360,400,880,60,950,3170,930
,,,,,,,,
10282,,"2,310","1,010","1,120",120,"1,610","4,850","1,490"
10282,"$1 under $25,000",220,180,40,**,140,220,40
10282,"$25,000 under $50,000",140,90,**,50,70,200,50
10282,"$50,000 under $75,000",130,100,40,**,70,180,30
10282,"$75,000 under $100,000",130,100,**,**,80,190,40
10282,"$100,000 under $200,000",360,230,100,20,230,560,110
10282,"$200,000 or more",1330,310,940,50,1020,3500,1220
,,,,,,,,
10301,,"18,080","9,290","4,700","3,660","12,560","32,870","10,800"
10301,"$1 under $25,000",6490,4140,720,1530,4270,10210,3690
10301,"$25,000 under $50,000",3910,2170,640,1000,2560,6830,2290
10301,"$50,000 under $75,000",2720,1480,590,560,1850,4660,1360
10301,"$75,000 under $100,000",1680,760,550,300,1260,3130,900
10301,"$100,000 under $200,000",2430,630,1490,250,1890,5700,1780
10301,"$200,000 or more",850,110,710,20,730,2340,780
,,,,,,,,
10302,,"8,080","3,740","2,240","1,950","5,990","16,010","6,040"
10302,"$1 under $25,000",3220,1970,440,790,2260,5420,2110
10302,"$25,000 under $50,000",1860,870,380,570,1330,3690,1460
10302,"$50,000 under $75,000",1160,490,320,300,890,2320,840
10302,"$75,000 under $100,000",730,230,320,160,580,1570,520
10302,"$100,000 under $200,000",960,180,650,130,800,2560,950
10302,"$200,000 or more",150,**,130,**,130,450,160
,,,,,,,,
10303,,"12,170","5,590","2,700","3,610","8,550","23,770","9,510"
10303,"$1 under $25,000",5280,3060,670,1490,3560,9010,3650
10303,"$25,000 under $50,000",2940,1330,500,1030,2000,5850,2430
10303,"$50,000 under $75,000",1700,660,400,570,1230,3420,1320
10303,"$75,000 under $100,000",1020,300,370,310,790,2290,900
10303,"$100,000 under $200,000",1140,240,690,210,900,2940,1110
10303,"$200,000 or more",90,**,70,**,70,260,100
,,,,,,,,
10304,,"19,720","9,050","5,400","4,900","14,360","38,220","14,040"
10304,"$1 under $25,000",8240,4820,1060,2260,5720,13640,5270
10304,"$25,000 under $50,000",4420,1990,890,1460,3170,8690,3390
10304,"$50,000 under $75,000",2400,1110,650,570,1750,4600,1560
10304,"$75,000 under $100,000",1520,550,610,310,1160,3200,1070
10304,"$100,000 under $200,000",2250,490,1450,260,1790,5600,1890
10304,"$200,000 or more",890,90,740,40,770,2490,860
,,,,,,,,
10305,,"19,300","9,160","6,920","2,890","14,420","36,880","11,690"
10305,"$1 under $25,000",6700,4330,1270,1000,4840,9720,2740
10305,"$25,000 under $50,000",4150,2150,1130,800,2950,7800,2540
10305,"$50,000 under $75,000",2840,1310,980,470,2140,5470,1650
10305,"$75,000 under $100,000",2040,720,970,310,1580,4480,1470
10305,"$100,000 under $200,000",2980,580,2080,280,2420,7750,2700
10305,"$200,000 or more",590,70,490,30,490,1660,590
,,,,,,,,
10306,,"26,840","12,640","10,240","3,420","20,430","50,640","15,230"
10306,"$1 under $25,000",8250,5770,1370,1000,5910,10610,2630
10306,"$25,000 under $50,000",5130,2910,1260,870,3750,8840,2480
10306,"$50,000 under $75,000",4030,2000,1240,650,3050,7210,1940
10306,"$75,000 under $100,000",3000,1050,1410,450,2360,6290,1880
10306,"$100,000 under $200,000",5120,800,3800,410,4270,13790,4870
10306,"$200,000 or more",1310,110,1160,40,1090,3900,1430
,,,,,,,,
10307,,"6,500","3,010","2,670",700,"5,170","12,930","4,330"
10307,"$1 under $25,000",1790,1380,230,170,1290,1950,450
10307,"$25,000 under $50,000",1090,650,240,170,830,1820,520
10307,"$50,000 under $75,000",850,450,260,120,670,1520,420
10307,"$75,000 under $100,000",710,250,320,100,590,1520,490
10307,"$100,000 under $200,000",1470,240,1090,140,1270,4200,1640
10307,"$200,000 or more",590,40,530,**,520,1920,810
,,,,,,,,
10308,,"13,620","6,400","5,490","1,440","10,590","25,690","7,510"
10308,"$1 under $25,000",3780,2830,540,360,2750,4280,880
10308,"$25,000 under $50,000",2400,1430,560,350,1800,3900,960
10308,"$50,000 under $75,000",1970,1030,610,280,1530,3470,890
10308,"$75,000 under $100,000",1700,570,840,220,1350,3650,1110
10308,"$100,000 under $200,000",3060,490,2310,210,2560,8260,2880
10308,"$200,000 or more",710,50,630,20,600,2130,790
,,,,,,,,
10309,,"15,000","6,830","6,280","1,600","11,940","29,720","9,550"
10309,"$1 under $25,000",4100,3070,580,390,3050,4670,1060
10309,"$25,000 under $50,000",2550,1520,570,400,1900,4230,1140
10309,"$50,000 under $75,000",2080,1070,680,280,1650,3840,1080
10309,"$75,000 under $100,000",1690,590,800,240,1390,3620,1140
10309,"$100,000 under $200,000",3470,510,2650,260,3000,9880,3760
10309,"$200,000 or more",1110,70,1000,30,950,3480,1370
,,,,,,,,
10310,,"11,460","5,330","3,390","2,510","8,200","22,590","8,350"
10310,"$1 under $25,000",4370,2750,530,1060,2950,7040,2750
10310,"$25,000 under $50,000",2330,1130,440,700,1570,4510,1750
10310,"$50,000 under $75,000",1490,720,370,340,1090,2770,910
10310,"$75,000 under $100,000",1070,390,420,220,820,2290,790
10310,"$100,000 under $200,000",1760,310,1240,190,1400,4680,1680
10310,"$200,000 or more",440,30,390,**,370,1300,470
,,,,,,,,
10312,,"29,230","13,370","12,190","3,010","22,820","56,250","16,870"
10312,"$1 under $25,000",7860,5830,1220,690,5790,9050,1950
10312,"$25,000 under $50,000",5230,3120,1250,730,3890,8630,2200
10312,"$50,000 under $75,000",4240,2160,1320,620,3270,7560,2010
10312,"$75,000 under $100,000",3480,1190,1680,460,2830,7410,2250
10312,"$100,000 under $200,000",6650,950,5130,460,5550,18270,6490
10312,"$200,000 or more",1770,120,1590,50,1490,5330,1970
,,,,,,,,
10314,,"40,740","18,920","15,820","5,110","31,020","79,530","25,340"
10314,"$1 under $25,000",12330,8380,2240,1520,8890,16970,4720
10314,"$25,000 under $50,000",8150,4430,2180,1320,5940,15000,4700
10314,"$50,000 under $75,000",6040,2940,2000,920,4630,11440,3410
10314,"$75,000 under $100,000",4590,1680,2090,670,3630,9800,3120
10314,"$100,000 under $200,000",7790,1310,5730,610,6380,20930,7420
10314,"$200,000 or more",1840,180,1580,70,1550,5390,1970
,,,,,,,,
10451,,"23,290","11,990","2,560","8,450","16,050","42,850","17,710"
10451,"$1 under $25,000",12230,7210,930,3990,8560,21560,9080
10451,"$25,000 under $50,000",6570,2860,760,2840,4410,12800,5490
10451,"$50,000 under $75,000",2730,1220,390,1070,1810,5120,2000
10451,"$75,000 under $100,000",1020,430,210,360,740,1900,670
10451,"$100,000 under $200,000",690,270,240,190,490,1370,450
10451,"$200,000 or more",50,**,30,**,40,100,20
,,,,,,,,
10452,,"36,200","18,080","4,410","13,280","26,900","69,060","29,640"
