,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
10,soco-brooklyn,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'soulfood', 'title': 'Soul Food'}]","{'latitude': 40.693866, 'longitude': -73.964535}",(718) 783-1936,5083.137850255608,oOsJn3leUnWDfErRWMf81g,https://s3-media4.fl.yelpcdn.com/bphoto/nLKKfPQU7t6wiZ0f-pQFDg/o.jpg,False,"{'address1': '509 Myrtle Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['509 Myrtle Ave', 'Brooklyn, NY 11205']}",Soco,+17187831936,$$,4.0,2020,['pickup'],https://www.yelp.com/biz/soco-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
11,sweet-brooklyn-bar-and-grill-brooklyn,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 40.6778662988215, 'longitude': -73.9500002190471}",(347) 425-0111,2977.895257223852,KkAtVVjnMfb1vGlcpzmhgw,https://s3-media4.fl.yelpcdn.com/bphoto/eLupaWE_72rsMKZolU2ZtA/o.jpg,False,"{'address1': '608 Nostrand Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['608 Nostrand Ave', 'Brooklyn, NY 11216']}",Sweet Brooklyn Bar And Grill,+13474250111,$$,4.0,303,"['pickup', 'delivery']",https://www.yelp.com/biz/sweet-brooklyn-bar-and-grill-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
12,nana-ramen-brooklyn,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'soup', 'title': 'Soup'}]","{'latitude': 40.6815479, 'longitude': -73.9289913}",(929) 210-0589,3364.53929611784,hdiTkEnD14VpXNl-APTg2g,https://s3-media4.fl.yelpcdn.com/bphoto/LXLGS9Go-Fh20inuHsxzsg/o.jpg,False,"{'address1': '330 Malcolm X Blvd', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['330 Malcolm X Blvd', 'Brooklyn, NY 11233']}",Nana Ramen,+19292100589,$$,4.0,135,[],https://www.yelp.com/biz/nana-ramen-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
13,barboncino-pizza-and-bar-brooklyn-2,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.67209, 'longitude': -73.95731}",(718) 483-8834,2664.9904084992017,xRiLLXjeM2wOvVTYJH2__A,https://s3-media3.fl.yelpcdn.com/bphoto/48doX4sxCRLxOl8a6AD35Q/o.jpg,False,"{'address1': '781 Franklin Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['781 Franklin Ave', 'Brooklyn, NY 11238']}",Barboncino Pizza & Bar,+17184838834,$$,4.0,905,[],https://www.yelp.com/biz/barboncino-pizza-and-bar-brooklyn-2?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
14,l-antagoniste-bedford-stuyvesant,"[{'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 40.685019, 'longitude': -73.929617}",(917) 966-5300,3726.5862648668544,mxDfu4bHwSXoCr3FRpyMsw,https://s3-media3.fl.yelpcdn.com/bphoto/T09D75WrCBjgBlgVnul7nQ/o.jpg,False,"{'address1': '238 Malcolm X Blvd', 'address2': '', 'address3': '', 'city': 'Bedford-Stuyvesant', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['238 Malcolm X Blvd', 'Bedford-Stuyvesant, NY 11221']}",L'Antagoniste,+19179665300,$$$,4.5,264,[],https://www.yelp.com/biz/l-antagoniste-bedford-stuyvesant?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
15,bunsmith-brooklyn,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'korean', 'title': 'Korean'}]","{'latitude': 40.6718444824219, 'longitude': -73.9572525024414}",(347) 406-6660,2647.5157280566923,BprO0tybje6_T6HdT6icyQ,https://s3-media4.fl.yelpcdn.com/bphoto/nUh1ktwT3Qjhxs3rsdO44g/o.jpg,False,"{'address1': '789 Franklin Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['789 Franklin Ave', 'Brooklyn, NY 11238']}",Bunsmith,+13474066660,$$,4.0,237,[],https://www.yelp.com/biz/bunsmith-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
16,chuko-brooklyn-2,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'ramen', 'title': 'Ramen'}]","{'latitude': 40.680784, 'longitude': -73.967455}",(347) 425-9570,3952.826091469818,eS9mTLlWwu_Ap2ROMQWPxg,https://s3-media3.fl.yelpcdn.com/bphoto/MD7Q6u1eUGzEDBtr6Qyimw/o.jpg,False,"{'address1': '565 Vanderbilt Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['565 Vanderbilt Ave', 'Brooklyn, NY 11238']}",Chuko,+13474259570,$$,4.0,1039,[],https://www.yelp.com/biz/chuko-brooklyn-2?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
17,salt-charcoal-brooklyn,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 40.71453, 'longitude': -73.9613511}",(718) 782-2087,7160.533085785758,m1cJLpDN4B-_0hGgPfe5OA,https://s3-media3.fl.yelpcdn.com/bphoto/RDtbfJjYqtdpaKvTrRhh2A/o.jpg,False,"{'address1': '171 Grand St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['171 Grand St', 'Brooklyn, NY 11249']}",Salt + Charcoal,+17187822087,$$,4.0,385,"['pickup', 'delivery', 'restaurant_reservation']",https://www.yelp.com/biz/salt-charcoal-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
18,peter-luger-brooklyn-2,"[{'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 40.709945, 'longitude': -73.962478}",(718) 387-7400,6696.460094966304,4yPqqJDJOQX69gC66YUDkA,https://s3-media4.fl.yelpcdn.com/bphoto/KRpKd1ZdcYSPRDhlb12Vjw/o.jpg,False,"{'address1': '178 Broadway', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['178 Broadway', 'Brooklyn, NY 11211']}",Peter Luger,+17183877400,$$$$,4.0,5437,[],https://www.yelp.com/biz/peter-luger-brooklyn-2?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
19,fancy-nancy-bedford-stuyvesant,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 40.6895209324106, 'longitude': -73.9552916183814}",(347) 350-7289,4348.18378066869,OzgvdC0oJPh1FQTLJF2yXw,https://s3-media3.fl.yelpcdn.com/bphoto/VXYWT6RTcRhcOCksLmD-8g/o.jpg,False,"{'address1': '1038 Bedford Ave', 'address2': '', 'address3': '', 'city': 'Bedford-Stuyvesant', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['1038 Bedford Ave', 'Bedford-Stuyvesant, NY 11205']}",Fancy Nancy,+13473507289,$$,4.0,147,"['pickup', 'delivery']",https://www.yelp.com/biz/fancy-nancy-bedford-stuyvesant?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
20,hunger-pang-flatbush-2,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 40.6470565795898, 'longitude': -73.9696960449219}",(718) 552-2869,2623.4674516268265,TRVWU2c4SzbsgWOo6Dz2Aw,https://s3-media3.fl.yelpcdn.com/bphoto/JTF3YRurGUSpeoxZtJHaRA/o.jpg,False,"{'address1': '1021 Church Ave', 'address2': '', 'address3': '', 'city': 'Flatbush', 'zip_code': '11218', 'country': 'US', 'state': 'NY', 'display_address': ['1021 Church Ave', 'Flatbush, NY 11218']}",Hunger Pang,+17185522869,$$,4.5,292,[],https://www.yelp.com/biz/hunger-pang-flatbush-2?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
21,suede-east-flatbush,"[{'alias': 'caribbean', 'title': 'Caribbean'}]","{'latitude': 40.64455, 'longitude': -73.92342}",(347) 474-7328,1598.7487980565538,tC4D1a5CR69VyK5VrHimQw,https://s3-media2.fl.yelpcdn.com/bphoto/V08yyxHXmD7gLLp2A-ZlzA/o.jpg,False,"{'address1': '5610 Clarendon Rd', 'address2': '', 'address3': '', 'city': 'East Flatbush', 'zip_code': '11203', 'country': 'US', 'state': 'NY', 'display_address': ['5610 Clarendon Rd', 'East Flatbush, NY 11203']}",Suede,+13474747328,$$,3.5,1085,"['pickup', 'delivery']",https://www.yelp.com/biz/suede-east-flatbush?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
22,evelina-brooklyn-2,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.689722, 'longitude': -73.971003}",(929) 298-0209,4938.857526930432,mPHPVJ2-8mOR-lFHafrc6w,https://s3-media1.fl.yelpcdn.com/bphoto/hG3aShzVvdnbAFm02sQgZw/o.jpg,False,"{'address1': '211 Dekalb Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['211 Dekalb Ave', 'Brooklyn, NY 11205']}",Evelina,+19292980209,$$$,4.5,132,[],https://www.yelp.com/biz/evelina-brooklyn-2?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
23,l-and-b-spumoni-gardens-brooklyn,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.594715, 'longitude': -73.981316}",(718) 449-1230,7319.894614377719,vyoA8dxwScuMV_AsTcjQcg,https://s3-media2.fl.yelpcdn.com/bphoto/BrTci9PjIwi7V1vkbgkdqg/o.jpg,False,"{'address1': '2725 86th St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11223', 'country': 'US', 'state': 'NY', 'display_address': ['2725 86th St', 'Brooklyn, NY 11223']}",L & B Spumoni Gardens,+17184491230,$,4.0,3524,"['pickup', 'delivery']",https://www.yelp.com/biz/l-and-b-spumoni-gardens-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
24,hometown-bar-b-que-brooklyn-3,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'smokehouse', 'title': 'Smokehouse'}]","{'latitude': 40.6748965703426, 'longitude': -74.0160489746129}",(347) 294-4644,6937.985342233848,Ms3CAGddVbgetiQrpzqxPQ,https://s3-media2.fl.yelpcdn.com/bphoto/Eo9NJvaF8j9HLa0GX9yNUA/o.jpg,False,"{'address1': '454 Van Brunt St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['454 Van Brunt St', 'Brooklyn, NY 11231']}",Hometown Bar-B-Que,+13472944644,$$,4.0,1243,[],https://www.yelp.com/biz/hometown-bar-b-que-brooklyn-3?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
25,gladys-brooklyn-2,"[{'alias': 'caribbean', 'title': 'Caribbean'}]","{'latitude': 40.671705, 'longitude': -73.957887}",(718) 622-0249,2661.403336292983,VPdOoSHjOB0kdlLH6iAFDA,https://s3-media3.fl.yelpcdn.com/bphoto/Dsl371_foTMSldTtGCQxwQ/o.jpg,False,"{'address1': '788 Franklin Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['788 Franklin Ave', 'Brooklyn, NY 11238']}",Glady's,+17186220249,$$,4.0,460,"['pickup', 'delivery']",https://www.yelp.com/biz/gladys-brooklyn-2?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
26,camillo-brooklyn,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.6596, 'longitude': -73.95081}",(718) 576-6886,1260.2579453378123,zww7OtudkcE921UT2ThOSg,https://s3-media4.fl.yelpcdn.com/bphoto/D8MX-dQtq9zQGEET4xVOwA/o.jpg,False,"{'address1': '1146 Nostrand Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11225', 'country': 'US', 'state': 'NY', 'display_address': ['1146 Nostrand Ave', 'Brooklyn, NY 11225']}",Camillo,+17185766886,$$,4.5,115,"['pickup', 'delivery']",https://www.yelp.com/biz/camillo-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
27,the-crabby-shack-brooklyn,"[{'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 40.6773501401729, 'longitude': -73.9554671528066}",(718) 484-1507,3096.0239352470476,uAy3zyNCmDPO0RpdGjEAdg,https://s3-media2.fl.yelpcdn.com/bphoto/gsEB4ju8jGv65sLS8WKcZQ/o.jpg,False,"{'address1': '613 Franklin Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['613 Franklin Ave', 'Brooklyn, NY 11238']}",The Crabby Shack,+17184841507,$$,4.0,616,"['pickup', 'delivery']",https://www.yelp.com/biz/the-crabby-shack-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
28,fan-fried-rice-bar-brooklyn-2,"[{'alias': 'taiwanese', 'title': 'Taiwanese'}]","{'latitude': 40.69099, 'longitude': -73.95587}",(929) 290-2197,4521.658234719341,q2bIyvU8CQwiB6xe_iVs0g,https://s3-media3.fl.yelpcdn.com/bphoto/HGcN7WIU9tIVmsCIbnoNmA/o.jpg,False,"{'address1': '525 Dekalb Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['525 Dekalb Ave', 'Brooklyn, NY 11205']}",Fan Fried Rice Bar,+19292902197,$,4.5,54,"['pickup', 'delivery']",https://www.yelp.com/biz/fan-fried-rice-bar-brooklyn-2?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
29,red-hook-lobster-pound-brooklyn,"[{'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 40.6797687107191, 'longitude': -74.0103686973453}",(718) 858-7650,6721.368117992112,nOjGNqPcu5jHRRElOndQqQ,https://s3-media2.fl.yelpcdn.com/bphoto/xpG28fkkH24OhW0O_JeEfg/o.jpg,False,"{'address1': '284 Van Brunt St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['284 Van Brunt St', 'Brooklyn, NY 11231']}",Red Hook Lobster Pound,+17188587650,$$,4.0,968,"['pickup', 'delivery']",https://www.yelp.com/biz/red-hook-lobster-pound-brooklyn?adjust_creative=_dOL2tQEZNA2cv5pnszrdw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_dOL2tQEZNA2cv5pnszrdw
